Area,Room,Price,Price(USD)
63,1,1850000000,61666.67
60,1,1850000000,61666.67
79,2,550000000,18333.33
95,2,902500000,30083.33
123,2,7000000000,233333.33
70,2,2050000000,68333.33
87,2,600000000,20000
59,1,2150000000,71666.67
54,2,493000000,16433.33
71,1,2370000000,79000
68,2,2450000000,81666.67
64,1,2100000000,70000
54,1,1690000000,56333.33
136,3,11000000000,366666.67
95,2,5000000000,166666.67
63,1,570000000,19000
155,3,6700000000,223333.33
64,2,1450000000,48333.33
140,3,6400000000,213333.33
42,1,1390000000,46333.33
93,2,7000000000,233333.33
87,2,2500000000,83333.33
65,1,1880000000,62666.67
99,2,2277000000,75900
105,2,7150000000,238333.33
160,3,14945000000,498166.67
77,2,1771000000,59033.33
123,2,4059000000,135300
110,2,630000000,21000
100,2,3200000000,106666.67
90,2,1500000000,50000
49,1,2200000000,73333.33
96,2,7872000000,262400
67,2,2350000000,78333.33
68,2,2500000000,83333.33
62,1,2150000000,71666.67
55,1,2150000000,71666.67
110,2,3750000000,125000
129,2,5250000000,175000
109,2,4830000000,161000
58,1,3400000000,113333.33
55,1,3850000000,128333.33
150,2,1200000000,40000
60,2,2650000000,88333.33
130,3,5000000000,166666.67
88,2,4750000000,158333.33
51,1,2980000000,99333.33
113,3,7000000000,233333.33
110,2,2035000000,67833.33
60,1,2460000000,82000
98,2,540000000,18000
62,2,1450000000,48333.33
150,3,10000000000,333333.33
75,2,635000000,21166.67
61,1,2030000000,67666.67
61,1,2030000000,67666.67
72,2,2350000000,78333.33
100,2,3000000000,100000
122,3,7200000000,240000
215,3,1750000000,58333.33
101,2,3300000000,110000
67,2,2800000000,93333.33
72,2,2200000000,73333.33
63,1,2200000000,73333.33
75,2,2200000000,73333.33
109,2,3500000000,116666.67
122,2,7000000000,233333.33
70,1,3100000000,103333.33
60,1,2450000000,81666.67
53,1,1920000000,64000
90,1,850000000,28333.33
72,2,1650000000,55000
74,2,1700000000,56666.67
88,3,560000000,18666.67
63,1,2150000000,71666.67
114,3,5500000000,183333.33
151,3,10200000000,340000
42,1,1760000000,58666.67
74,2,1700000000,56666.67
88,3,560000000,18666.67
63,1,2150000000,71666.67
114,3,5500000000,183333.33
151,3,10200000000,340000
42,1,1760000000,58666.67
300,3,1500000000,50000
110,2,3730000000,124333.33
100,2,620000000,20666.67
140,1,580000000,19333.33
70,2,3050000000,101666.67
60,2,2000000000,66666.67
76,2,2600000000,86666.67
148,3,5990000000,199666.67
75,2,2300000000,76666.67
40,1,1300000000,43333.33
65,2,2270000000,75666.67
140,3,4000000000,133333.33
110,2,4000000000,133333.33
70,2,1650000000,55000
128,3,6700000000,223333.33
94,2,580000000,19333.33
67,1,2300000000,76666.67
75,1,650000000,21666.67
130,2,16900000000,563333.33
40,0,248000000,8266.67
97,2,510000000,17000
110,2,3850000000,128333.33
150,3,6000000000,200000
75,2,780000000,26000
137,3,7200000000,240000
85,2,410000000,13666.67
68,2,430000000,14333.33
78,2,800000000,26666.67
85,2,545000000,18166.67
100,2,1280000000,42666.67
71,2,2800000000,93333.33
140,3,11200000000,373333.33
136,3,750000000,25000
48,1,850000000,28333.33
100,2,3300000000,110000
82,2,3280000000,109333.33
120,3,4800000000,160000
139,3,7300000000,243333.33
110,3,3950000000,131666.67
78,2,370000000,12333.33
79,2,750000000,25000
66,2,1725000000,57500
78,2,780000000,26000
85,2,1419000000,47300
100,2,1200000000,40000
80,2,3600000000,120000
44,1,1050000000,35000
120,2,1200000000,40000
50,1,340000000,11333.33
121,3,3300000000,110000
80,2,2800000000,93333.33
70,2,1200000000,40000
160,1,3600000,120
40,0,165000000,5500
88,2,2860000000,95333.33
141,3,3810000000,127000
140,3,1790000000,59666.67
120,2,1530000000,51000
66,2,1000000000,33333.33
70,2,3500000000,116666.67
75,2,3000000000,100000
70,2,1800000000,60000
150,3,20000000000,666666.67
95,2,950000000,31666.67
127,2,6000000000,200000
123,3,3700000000,123333.33
63,2,2000000000,66666.67
90,2,3050000000,101666.67
105,2,605000000,20166.67
180,3,9900000000,330000
120,3,3700000000,123333.33
65,2,2500000000,83333.33
158,3,10480000000,349333.33
144,3,7632000000,254400
144,3,7632000000,254400
130,3,12300000000,410000
245,3,26950000000,898333.33
190,3,24300000000,810000
63,2,3000000000,100000
75,2,2100000000,70000
88,2,4700000000,156666.67
108,2,9180000000,306000
117,2,1579500000,52650
200,3,12000000000,400000
65,1,1750000000,58333.33
90,2,3780000000,126000
125,2,8100000000,270000
140,3,9100000000,303333.33
71,2,1550000000,51666.67
71,2,1640000000,54666.67
236,4,20000000000,666666.67
67,2,2750000000,91666.67
60,1,1750000000,58333.33
220,3,15400000000,513333.33
44,1,350000000,11666.67
68,1,4115000000,137166.67
100,2,8000000000,266666.67
86,2,580000000,19333.33
84,2,560000000,18666.67
94,2,4800000000,160000
55,1,1550000000,51666.67
113,2,7500000000,250000
71,2,630000000,21000
70,2,2000000000,66666.67
200,3,2400000000,80000
106,2,1100000000,36666.67
320,4,24000000000,800000
114,2,3820000000,127333.33
100,2,6000000000,200000
122,2,5800000000,193333.33
200,2,3500000000,116666.67
154,3,12300000000,410000
210,3,15750000000,525000
200,3,11000000000,366666.67
65,1,3000000000,100000
124,3,3968000000,132266.67
83,2,1909000000,63633.33
270,4,37800000000,1260000
104,2,5700000000,190000
150,3,10490000000,349666.67
103,3,3200000000,106666.67
48,1,1920000000,64000
165,3,12300000000,410000
135,2,7400000000,246666.67
86,2,6200000000,206666.67
75,2,2350000000,78333.33
58,1,1850000000,61666.67
125,2,21500000000,716666.67
82,2,1886000000,62866.67
58,2,2200000000,73333.33
101,2,2323000000,77433.33
90,2,6800000000,226666.67
180,3,20700000000,690000
132,3,6250000000,208333.33
81,2,1863000000,62100
153,3,13000000000,433333.33
166,3,12500000000,416666.67
200,3,17000000000,566666.67
113,2,8500000000,283333.33
100,2,2300000000,76666.67
80,2,3350000000,111666.67
76,2,2000000000,66666.67
128,3,5700000000,190000
210,3,27000000000,900000
140,2,12600000000,420000
74,2,1702000000,56733.33
75,1,3000000000,100000
120,2,7500000000,250000
120,2,7500000000,250000
85,2,5000000000,166666.67
105,2,700000000,23333.33
175,3,15600000000,520000
170,3,15350000000,511666.67
58,1,2810000000,93666.67
75,2,395000000,13166.67
160,3,15100000000,503333.33
62,1,1850000000,61666.67
93,2,1450000000,48333.33
75,2,715000000,23833.33
86,2,1200000000,40000
120,2,4260000000,142000
95,2,1500000000,50000
70,2,2120000000,70666.67
75,2,2000000000,66666.67
81,2,590000000,19666.67
65,1,1930000000,64333.33
75,2,2730000000,91000
106,2,3150000000,105000
115,2,4600000000,153333.33
100,2,3000000000,100000
118,2,4500000000,150000
116,2,5100000000,170000
76,2,2200000000,73333.33
74,2,2300000000,76666.67
96,2,4500000000,150000
87,2,625000000,20833.33
43,1,1620000000,54000
155,3,17050000000,568333.33
53,1,1920000000,64000
160,3,17600000000,586666.67
78,2,2250000000,75000
230,3,25300000000,843333.33
55,1,1850000000,61666.67
120,2,11700000000,390000
78,2,3600000000,120000
95,2,4400000000,146666.67
170,3,15400000000,513333.33
175,3,22750000000,758333.33
115,3,4500000000,150000
113,2,4300000000,143333.33
85,2,3380000000,112666.67
140,3,10000000000,333333.33
90,2,6500000000,216666.67
63,1,2200000000,73333.33
75,2,3220000000,107333.33
130,3,6240000000,208000
91,2,3350000000,111666.67
121,3,3650000000,121666.67
140,3,15500000000,516666.67
126,2,5500000000,183333.33
450,2,4200000000,140000
500,2,3900000000,130000
110,1,6600000000,220000
145,3,4700000000,156666.67
81,2,810000000,27000
64,2,2200000000,73333.33
112,2,3680000000,122666.67
192,3,12670000000,422333.33
164,3,10000000000,333333.33
135,3,8100000000,270000
170,3,9200000000,306666.67
130,3,5200000000,173333.33
84,2,3400000000,113333.33
82,2,3550000000,118333.33
265,3,20000000000,666666.67
60,1,1950000000,65000
145,3,15500000000,516666.67
65,1,2000000000,66666.67
60,1,2280000000,76000
63,2,2000000000,66666.67
70,2,1950000000,65000
92,2,3900000000,130000
98,2,7800000000,260000
62,1,2280000000,76000
65,1,2900000000,96666.67
90,2,5000000000,166666.67
59,2,1900000000,63333.33
63,2,2000000000,66666.67
60,2,2200000000,73333.33
70,2,2500000000,83333.33
60,1,2200000000,73333.33
165,3,10500000000,350000
135,2,17500000000,583333.33
65,1,2000000000,66666.67
60,1,2250000000,75000
60,1,2250000000,75000
86,2,3600000000,120000
109,2,6000000000,200000
98,2,2842000000,94733.33
80,2,3120000000,104000
143,3,8860000000,295333.33
95,2,4550000000,151666.67
86,2,3700000000,123333.33
160,3,10000000000,333333.33
200,3,16580000000,552666.67
74,1,3250000000,108333.33
350,3,52500000000,1750000
87,2,3550000000,118333.33
82,2,3450000000,115000
55,1,2490000000,83000
148,3,8400000000,280000
55,1,2020000000,67333.33
100,2,3800000000,126666.67
55,1,1550000000,51666.67
130,3,5300000000,176666.67
335,4,33500000000,1116666.67
320,4,40000000000,1333333.33
192,3,19500000000,650000
100,2,8000000000,266666.67
148,3,14800000000,493333.33
145,2,14700000000,490000
192,4,22000000000,733333.33
235,3,16450000000,548333.33
225,3,15750000000,525000
221,4,25000000000,833333.33
312,4,45000000000,1500000
188,3,17672000000,589066.67
170,2,12400000000,413333.33
198,3,27720000000,924000
80,2,3100000000,103333.33
170,3,18700000000,623333.33
110,2,6600000000,220000
650,2,5200000000,173333.33
200,3,12000000000,400000
101,3,6500000000,216666.67
104,2,3850000000,128333.33
70,2,3200000000,106666.67
76,2,2570000000,85666.67
110,2,4300000000,143333.33
160,2,16200000000,540000
179,3,13800000000,460000
256,3,18500000000,616666.67
90,2,3850000000,128333.33
77,2,2570000000,85666.67
96,2,5600000000,186666.67
75,1,3250000000,108333.33
79,2,3000000000,100000
67,1,3400000000,113333.33
125,2,6400000000,213333.33
75,2,1890000000,63000
75,2,1890000000,63000
91,2,5400000000,180000
105,2,1417500000,47250
66,2,1585000000,52833.33
86,2,3270000000,109000
72,2,2380000000,79333.33
148,2,4500000000,150000
84,2,4600000000,153333.33
128,2,12800000000,426666.67
65,1,3900000000,130000
140,3,11800000000,393333.33
115,2,7400000000,246666.67
105,2,5700000000,190000
87,2,650000000,21666.67
75,2,1890000000,63000
60,1,875000000,29166.67
68,1,2630000000,87666.67
49,1,2200000000,73333.33
103,2,9270000000,309000
55,1,2200000000,73333.33
140,3,7700000000,256666.67
257,4,12850000000,428333.33
82,2,4018000000,133933.33
167,3,10688000000,356266.67
53,1,1640000000,54666.67
51,1,1550000000,51666.67
54,1,2130000000,71000
82,2,4100000000,136666.67
75,2,2800000000,93333.33
98,2,4520000000,150666.67
75,2,1890000000,63000
70,1,5600000000,186666.67
75,2,1890000000,63000
64,1,3700000000,123333.33
85,2,2100000000,70000
48,1,980000000,32666.67
75,2,1890000000,63000
246,3,22500000000,750000
168,3,14000000000,466666.67
280,4,38500000000,1283333.33
75,2,1890000000,63000
84,2,680000000,22666.67
75,2,1890000000,63000
108,2,5180000000,172666.67
62,1,2580000000,86000
70,2,3370000000,112333.33
180,3,9900000000,330000
135,3,6480000000,216000
75,2,1890000000,63000
108,2,6200000000,206666.67
91,2,5180000000,172666.67
120,2,8900000000,296666.67
112,2,7500000000,250000
75,2,1890000000,63000
123,2,4059000000,135300
69,2,1800000000,60000
400,5,85000000000,2833333.33
660,5,55000000000,1833333.33
66,1,1850000000,61666.67
80,2,2150000000,71666.67
44,1,880000000,29333.33
180,3,9360000000,312000
164,3,9840000000,328000
213,3,14484000000,482800
100,2,3400000000,113333.33
75,2,1890000000,63000
300,3,55500000000,1850000
126,3,3000000000,100000
85,2,2500000000,83333.33
75,2,1890000000,63000
57,1,1270000000,42333.33
61,1,1990000000,66333.33
79,2,1817000000,60566.67
68,1,2450000000,81666.67
105,2,1000000000,33333.33
105,2,7700000000,256666.67
160,2,1930000000,64333.33
100,2,585000000,19500
125,3,12500000000,416666.67
94,2,990000000,33000
80,2,2200000000,73333.33
75,2,2300000000,76666.67
99,3,4190000000,139666.67
90,2,4099000000,136633.33
129,3,4500000000,150000
245,3,36500000000,1216666.67
102,2,2030000000,67666.67
141,3,1225000000,40833.33
96,2,3840000000,128000
155,3,8600000000,286666.67
300,3,55500000000,1850000
87,2,6264000000,208800
87,2,6264000000,208800
105,2,6200000000,206666.67
61,1,1850000000,61666.67
88,2,3700000000,123333.33
101,2,3700000000,123333.33
160,2,1930000000,64333.33
130,2,3250000000,108333.33
150,3,7800000000,260000
144,2,6600000000,220000
91,2,4500000000,150000
68,2,2200000000,73333.33
133,3,2260000000,75333.33
71,2,1633000000,54433.33
64,1,680000000,22666.67
132,2,2244000000,74800
95,2,5600000000,186666.67
95,2,4500000000,150000
102,2,5200000000,173333.33
120,2,6250000000,208333.33
117,3,4600000000,153333.33
55,1,1570000000,52333.33
60,1,295000000,9833.33
85,2,1900000000,63333.33
80,2,1750000000,58333.33
54,1,1500000000,50000
57,1,1880000000,62666.67
101,2,3130000000,104333.33
65,2,1960000000,65333.33
91,2,3230000000,107666.67
105,2,690000000,23000
86,2,3480000000,116000
200,3,35000000000,1166666.67
87,2,760000000,25333.33
103,2,3550000000,118333.33
81,2,2891700000,96390
73,2,2600000000,86666.67
90,2,455000000,15166.67
134,3,1600000000,53333.33
60,1,1850000000,61666.67
51,1,2020000000,67333.33
108,2,1300000000,43333.33
86,2,610000000,20333.33
110,2,1870000000,62333.33
88,2,740000000,24666.67
85,2,780000000,26000
100,2,3000000000,100000
87,2,715000000,23833.33
191,3,18145000000,604833.33
91,2,2093000000,69766.67
282,3,36660000000,1222000
282,2,30000000000,1000000
210,3,23100000000,770000
87,2,650000000,21666.67
170,2,7140000000,238000
89,2,2047000000,68233.33
64,2,3200000000,106666.67
89,2,3100000000,103333.33
135,3,11800000000,393333.33
75,2,1650000000,55000
105,2,3990000000,133000
320,4,40000000000,1333333.33
111,2,6800000000,226666.67
133,3,7448000000,248266.67
65,1,3250000000,108333.33
65,1,2650000000,88333.33
112,2,8200000000,273333.33
147,3,8400000000,280000
150,3,12000000000,400000
67,1,3450000000,115000
220,3,15000000000,500000
66,2,2510000000,83666.67
75,2,1880000000,62666.67
180,3,12600000000,420000
103,2,5200000000,173333.33
68,1,3570000000,119000
115,2,11000000000,366666.67
115,2,1900000000,63333.33
150,3,8400000000,280000
78,2,2000000000,66666.67
100,2,1000000000,33333.33
58,1,2650000000,88333.33
90,2,4200000000,140000
235,3,24000000000,800000
48,1,2250000000,75000
70,2,2800000000,93333.33
86,2,4200000000,140000
79,2,550000000,18333.33
88,2,3600000000,120000
145,3,13000000000,433333.33
64,2,1500000000,50000
135,3,11475000000,382500
50,1,1260000000,42000
87,2,540000000,18000
84,2,550000000,18333.33
300,4,42000000000,1400000
137,3,10000000000,333333.33
105,2,9500000000,316666.67
145,2,11000000000,366666.67
84,2,560000000,18666.67
170,2,32000000000,1066666.67
157,3,14800000000,493333.33
170,3,19000000000,633333.33
283,3,29700000000,990000
84,2,540000000,18000
3310000000,2,3310000000,110333.33
84,2,550000000,18333.33
80,2,3250000000,108333.33
863,2,7830000000,261000
125,2,8700000000,290000
65,2,2350000000,78333.33
105,2,5300000000,176666.67
170,3,18700000000,623333.33
230,3,19300000000,643333.33
200,3,22000000000,733333.33
150,3,13000000000,433333.33
93,2,4650000000,155000
110,2,4500000000,150000
415,5,53950000000,1798333.33
95,2,5700000000,190000
128,3,8960000000,298666.67
140,2,8400000000,280000
86,2,3200000000,106666.67
70,2,3900000000,130000
173,3,9515000000,317166.67
72,2,3150000000,105000
73,2,3900000000,130000
75,1,3200000000,106666.67
67,2,2200000000,73333.33
68,2,2700000000,90000
88,2,1900000000,63333.33
111,2,5661000000,188700
98,2,3750000000,125000
62,2,2750000000,91666.67
80,2,4240000000,141333.33
200,4,15000000000,500000
210,4,15500000000,516666.67
162,3,12150000000,405000
150,3,12000000000,400000
82,2,1100000000,36666.67
130,3,11100000000,370000
76,2,4000000000,133333.33
96,2,4800000000,160000
103,2,5200000000,173333.33
135,3,8700000000,290000
140,2,12600000000,420000
165,3,14800000000,493333.33
120,2,1050000000,35000
160,2,2000000000,66666.67
150,3,9000000000,300000
51,1,1300000000,43333.33
75,1,3900000000,130000
180,3,9900000000,330000
93,2,1181100000,39370
84,2,1150800000,38360
92,2,1012000000,33733.33
105,2,1365000000,45500
67,2,2400000000,80000
100,2,5500000000,183333.33
170,3,10800000000,360000
162,3,7600000000,253333.33
43,1,2080000000,69333.33
150,3,12500000000,416666.67
245,3,22050000000,735000
93,2,4140000000,138000
60,1,295000000,9833.33
128,3,9300000000,310000
87,2,795000000,26500
100,2,5500000000,183333.33
124,2,7040000000,234666.67
156,3,9400000000,313333.33
171,3,14000000000,466666.67
58,2,2080000000,69333.33
88,2,2024000000,67466.67
190,3,24700000000,823333.33
61,1,2180000000,72666.67
165,3,17200000000,573333.33
235,3,26500000000,883333.33
87,2,670000000,22333.33
121,3,630000000,21000
105,2,955000000,31833.33
100,3,500000000,16666.67
105,2,980000000,32666.67
69,2,2050000000,68333.33
115,2,13000000000,433333.33
157,3,18500000000,616666.67
145,3,7541000000,251366.67
160,3,10700000000,356666.67
261,4,26000000000,866666.67
145,3,11000000000,366666.67
51,1,1275000000,42500
87,2,490000000,16333.33
116,2,4350000000,145000
95,2,2280000000,76000
75,2,2250000000,75000
86,2,1978000000,65933.33
95,2,4200000000,140000
85,2,1955000000,65166.67
88,2,2024000000,67466.67
93,2,2139000000,71300
70,2,1630000000,54333.33
140,3,9800000000,326666.67
81,2,4000000000,133333.33
109,2,3500000000,116666.67
122,2,7000000000,233333.33
70,1,3100000000,103333.33
60,1,2450000000,81666.67
53,1,1920000000,64000
45,1,1200000000,40000
58,1,1900000000,63333.33
140,3,4400000000,146666.67
100,2,3580000000,119333.33
96,2,3750000000,125000
79,2,2850000000,95000
125,3,3750000000,125000
75,2,3050000000,101666.67
145,2,4500000000,150000
102,2,4520000000,150666.67
115,2,4350000000,145000
140,3,8500000000,283333.33
66,1,3300000000,110000
161,3,8350000000,278333.33
102,2,4500000000,150000
145,4,5100000000,170000
95,2,2970000000,99000
78,2,460000000,15333.33
90,2,3150000000,105000
66,1,1090000000,36333.33
48,1,810000000,27000
85,2,3200000000,106666.67
63,1,2000000000,66666.67
105,2,1035000000,34500
55,1,1090000000,36333.33
103,2,1035000000,34500
155,3,10000000000,333333.33
101,2,1035000000,34500
106,2,1245000000,41500
100,2,1035000000,34500
77,2,2650000000,88333.33
66,2,2700000000,90000
105,3,3600000000,120000
117,2,6500000000,216666.67
118,2,3900000000,130000
151,3,1510000000,50333.33
16160000000,3,16160000000,538666.67
86,2,500000000,16666.67
85,2,600000000,20000
86,2,750000000,25000
86,2,600000000,20000
75,2,3300000000,110000
200,3,20000000000,666666.67
46,1,450000000,15000
98,2,570000000,19000
90,2,6700000000,223333.33
70,2,2950000000,98333.33
40,1,350000000,11666.67
58,1,2750000000,91666.67
90,2,4590000000,153000
78,2,3300000000,110000
200,3,20000000000,666666.67
82,2,4200000000,140000
115,3,7485000000,249500
125,2,11250000000,375000
107,2,9200000000,306666.67
55,1,850000000,28333.33
50,1,1500000000,50000
75,2,60000000,2000
420,5,11000000000,366666.67
225,4,5500000000,183333.33
230,3,13800000000,460000
147,3,11500000000,383333.33
97,2,900000000,30000
145,3,12300000000,410000
50,1,1750000000,58333.33
117,2,6100000000,203333.33
72,1,730000000,24333.33
161,3,13000000000,433333.33
400,5,18500000000,616666.67
230,3,23000000000,766666.67
170,3,7950000000,265000
58,1,2050000000,68333.33
57,1,1950000000,65000
115,3,8100000000,270000
50,1,1200000000,40000
84,2,850000000,28333.33
78,2,580000000,19333.33
64,2,960000000,32000
113,2,6500000000,216666.67
175,3,9450000000,315000
111,2,6050000000,201666.67
128,3,6500000000,216666.67
200,4,14000000000,466666.67
131,2,7980000000,266000
105,3,6000000000,200000
87,2,650000000,21666.67
61,2,1100000000,36666.67
140,3,6300000000,210000
185,3,9000000000,300000
122,2,7900000000,263333.33
69,2,3795000000,126500
95,2,6700000000,223333.33
90,2,4000000000,133333.33
57,1,1600000000,53333.33
400,3,2000000000,66666.67
81,2,1109700000,36990
94,2,1250000000,41666.67
134,2,1608000000,53600
74,2,315000000,10500
44,1,585000000,19500
100,2,3250000000,108333.33
175,3,9300000000,310000
54,2,1850000000,61666.67
96,2,2210000000,73666.67
90,2,2400000000,80000
90,2,3170000000,105666.67
68,2,1100000000,36666.67
68,2,1100000000,36666.67
90,2,3200000000,106666.67
97,2,4700000000,156666.67
78,2,2730000000,91000
125,3,5550000000,185000
97,2,5950000000,198333.33
100,2,6200000000,206666.67
63,2,2100000000,70000
57,1,2000000000,66666.67
80,2,1390000000,46333.33
88,2,1574000000,52466.67
94,2,1712000000,57066.67
109,3,4230000000,141000
78,2,3300000000,110000
250,3,32500000000,1083333.33
140,3,6800000000,226666.67
100,2,500000000,16666.67
95,2,3150000000,105000
85,2,1150000000,38333.33
83,2,2575000000,85833.33
100,2,5500000000,183333.33
60,2,3450000000,115000
82,2,3050000000,101666.67
150,3,2800000000,93333.33
49,1,460000000,15333.33
216,4,5700000000,190000
1000,2,7000000000,233333.33
77,2,440000000,14666.67
63,1,2080000000,69333.33
125,3,1300000000,43333.33
45,1,1900000000,63333.33
135,3,7500000000,250000
80,2,4700000000,156666.67
155,3,9800000000,326666.67
125,3,6300000000,210000
95,2,6250000000,208333.33
85,2,4500000000,150000
110,2,8100000000,270000
680,5,81600000000,2720000
63,1,2350000000,78333.33
60,1,3600000000,120000
210,3,14000000000,466666.67
145,3,11600000000,386666.67
171,3,8900000000,296666.67
55,1,1830000000,61000
140,3,7700000000,256666.67
147,3,8700000000,290000
83,2,2400000000,80000
105,2,514000000,17133.33
55,1,2000000000,66666.67
750,5,75000000000,2500000
62,2,2100000000,70000
55,1,1900000000,63333.33
75,2,1950000000,65000
95,2,4200000000,140000
89,2,3620000000,120666.67
202,3,7474000000,249133.33
51,1,1720000000,57333.33
400,1,3000000000,100000
145,3,7600000000,253333.33
115,3,5000000000,166666.67
130,3,8450000000,281666.67
62,1,950000000,31666.67
94,2,3160000000,105333.33
87,2,726000000,24200
51,2,1050000000,35000
95,2,2870000000,95666.67
80,2,2150000000,71666.67
145,3,4300000000,143333.33
155,3,9300000000,310000
88,2,3940000000,131333.33
175,3,15225000000,507500
94,2,4700000000,156666.67
89,2,3300000000,110000
62,2,3400000000,113333.33
136,3,7550000000,251666.67
60,1,2450000000,81666.67
120,3,5000000000,166666.67
137,3,1750000000,58333.33
160,3,12500000000,416666.67
